name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	866025	880364	1746389	0.15863	0.04529	0.04557	0.04567	48	nan
Enterocloster clostridioformis	1531	S	613014	627699	1240713	0.11270	0.03640	0.03663	0.03695	52	nan
Enterocloster bolteae	208479	S	10007	10156	20163	0.00183	0.00051	0.00000	0.00052	51	4.0
Agathobacter rectalis	39491	S	461737	489477	951214	0.08640	0.04781	0.04744	0.04715	44	nan
[Clostridium] hylemonae	89153	S	2518	2567	5085	0.00046	0.00021	0.00000	0.00021	51	4.0
Roseburia hominis	301301	S	1328	1460	2788	0.00025	0.00013	0.00015	0.00013	52	nan
[Ruminococcus] gnavus	33038	S	641	863	1504	0.00014	0.00008	0.00000	0.00008	45	4.0
Wansuia hejianensis	2763667	S	836	843	1679	0.00015	0.00007	0.00000	0.00007	50	0.0
Flavonifractor plautii	292800	S	602976	612168	1215144	0.11038	0.04840	0.04748	0.04948	63	nan
Faecalibacterium duncaniae	411483	S	339204	487102	826306	0.07506	0.05312	0.05258	0.05357	60	nan
Faecalibacterium prausnitzii	853	S	3722	4256	7978	0.00072	0.00046	0.00000	0.00046	60	5.0
Anaerotruncus colihominis	169435	S	605	634	1239	0.00011	0.00006	0.00000	0.00006	55	4.0
Clostridioides difficile	1496	S	6219	6364	12583	0.00114	0.00049	0.00000	0.00051	28	0.0
Hungatella hathewayi	154046	S	694	719	1413	0.00013	0.00003	0.00000	0.00003	50	5.0
Bacillus subtilis	1423	S	16828	645253	662081	0.06014	0.05008	0.05083	0.04998	44	nan
Bacillus vallismortis	72361	S	1618	1654	3272	0.00030	0.00013	0.00013	0.00013	44	nan
Bacillus inaquosorum	483913	S	1268	1345	2613	0.00024	0.00010	0.00010	0.00010	44	nan
Bacillus velezensis	492670	S	721	5432	6153	0.00056	0.00044	0.00044	0.00044	45	nan
Bacillus spizizenii	96241	S	1053	2621	3674	0.00033	0.00021	0.00021	0.00021	44	nan
Bacillus halotolerans	260554	S	502	911	1413	0.00013	0.00007	0.00007	0.00007	45	nan
Bacillus tequilensis	227866	S	865	892	1757	0.00016	0.00007	0.00007	0.00007	44	nan
Bacillus atrophaeus	1452	S	511	535	1046	0.00010	0.00004	0.00004	0.00004	44	nan
Bacillus cabrialesii	2487276	S	767	808	1575	0.00014	0.00006	0.00006	0.00006	45	nan
Bacillus rugosus	2715209	S	610	659	1269	0.00012	0.00005	0.00005	0.00005	45	nan
Staphylococcus epidermidis	1282	S	372523	395793	768316	0.06979	0.04986	0.04901	0.04735	32	nan
Staphylococcus aureus	1280	S	515	2894	3409	0.00031	0.00033	0.00000	0.00031	33	4.0
Streptococcus mutans	1309	S	326010	331198	657208	0.05970	0.05205	0.04940	0.04943	37	nan
Lactobacillus delbrueckii	1584	S	312211	314852	627063	0.05696	0.05205	0.05345	0.05307	53	nan
Megamonas funiformis	437897	S	382625	383095	765720	0.06955	0.05059	0.04795	0.04920	32	nan
Megasphaera elsdenii	907	S	373993	375694	749687	0.06810	0.04839	0.05010	0.04930	56	nan
Bifidobacterium longum	216816	S	663169	790569	1453738	0.13205	0.09615	0.09802	0.09645	61	nan
Bifidobacterium breve	1685	S	559	753	1312	0.00012	0.00010	0.00011	0.00011	59	nan
Cutibacterium acnes	1747	S	361717	365226	726943	0.06603	0.04688	0.04865	0.04737	60	nan
Mycobacterium canettii	78331	S	3064	3074	6138	0.00056	0.00022	0.00000	0.00023	65	5.0
Collinsella aerofaciens	74426	S	425331	426318	851649	0.07736	0.05671	0.05887	0.05763	61	nan
Pseudomonas putida	303	S	1035340	1080638	2115978	0.19220	0.06217	0.05773	0.06087	63	nan
Escherichia coli	562	S	50401	685421	735822	0.06684	0.04507	0.04675	0.04600	53	nan
Escherichia albertii	208962	S	1661	2084	3745	0.00034	0.00014	0.00014	0.00014	52	nan
Escherichia fergusonii	564	S	947	1750	2697	0.00024	0.00012	0.00012	0.00013	52	nan
Escherichia marmotae	1499973	S	920	1117	2037	0.00019	0.00008	0.00008	0.00008	52	nan
Escherichia sp. E4742	2044467	S	597	819	1416	0.00013	0.00005	0.00005	0.00005	52	nan
Shigella flexneri	623	S	850	20548	21398	0.00194	0.00142	0.00148	0.00145	53	nan
Shigella dysenteriae	622	S	749	4117	4866	0.00044	0.00029	0.00030	0.00029	53	nan
Salmonella enterica	28901	S	729	6144	6873	0.00062	0.00041	0.00044	0.00042	53	nan
Serratia marcescens	615	S	541	568	1109	0.00010	0.00004	0.00000	0.00004	62	4.0
Bacteroides uniformis	820	S	554252	837528	1391780	0.12642	0.05511	0.05564	0.05548	48	nan
Parabacteroides distasonis	823	S	447043	779117	1226160	0.11138	0.04857	0.04876	0.04872	46	nan
Akkermansia muciniphila	239935	S	408360	410778	819138	0.07441	0.04833	0.05110	0.04932	57	nan
Campylobacter jejuni	197	S	1941	2705	4646	0.00042	0.00052	0.00000	0.00050	30	0.0
Homo sapiens	9606	S	1326	1368	2694	0.00024	0.00002	0.00000	0.00002	38	0.0
