name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	644109	655325	1299434	0.16144	0.04600	0.04577	0.04554	47	nan
Enterocloster clostridioformis	1531	S	448484	459905	908389	0.11286	0.03639	0.03648	0.03673	51	nan
Enterocloster bolteae	208479	S	7677	7799	15476	0.00192	0.00053	0.00000	0.00054	51	4.0
Agathobacter rectalis	39491	S	323217	343953	667170	0.08289	0.04586	0.04410	0.04377	43	nan
[Clostridium] hylemonae	89153	S	1833	1872	3705	0.00046	0.00021	0.00000	0.00021	50	4.0
Roseburia hominis	301301	S	1069	1183	2252	0.00028	0.00015	0.00016	0.00015	51	nan
Wansuia hejianensis	2763667	S	641	647	1288	0.00016	0.00007	0.00000	0.00007	50	4.0
Flavonifractor plautii	292800	S	417820	424598	842418	0.10466	0.04580	0.04669	0.04893	64	nan
Faecalibacterium duncaniae	411483	S	244152	358166	602318	0.07483	0.05329	0.05464	0.05510	60	nan
Faecalibacterium prausnitzii	853	S	2176	2507	4683	0.00058	0.00037	0.00000	0.00038	61	5.0
Clostridioides difficile	1496	S	4698	4829	9527	0.00118	0.00051	0.00000	0.00049	29	0.0
Hungatella hathewayi	154046	S	562	580	1142	0.00014	0.00004	0.00000	0.00004	50	5.0
Bacillus subtilis	1423	S	6973	514713	521686	0.06481	0.05473	0.05423	0.05324	45	nan
Bacillus vallismortis	72361	S	741	771	1512	0.00019	0.00008	0.00008	0.00008	44	nan
Bacillus inaquosorum	483913	S	559	623	1182	0.00015	0.00006	0.00006	0.00006	44	nan
Staphylococcus epidermidis	1282	S	286518	309523	596041	0.07405	0.05331	0.04875	0.04691	32	nan
Streptococcus mutans	1309	S	250513	254361	504874	0.06273	0.05452	0.04888	0.04911	37	nan
Lactobacillus delbrueckii	1584	S	234605	236708	471313	0.05856	0.05341	0.05423	0.05439	53	nan
Megamonas funiformis	437897	S	302235	302667	604902	0.07515	0.05453	0.04785	0.04903	31	nan
Megasphaera elsdenii	907	S	285062	286482	571544	0.07101	0.05034	0.05176	0.05181	56	nan
Bifidobacterium longum	216816	S	472139	564023	1036162	0.12873	0.09352	0.09937	0.09786	61	nan
Cutibacterium acnes	1747	S	240566	242892	483458	0.06006	0.04251	0.04662	0.04477	60	nan
Collinsella aerofaciens	74426	S	303800	304522	608322	0.07558	0.05527	0.05913	0.05866	61	nan
Pseudomonas putida	303	S	721508	755967	1477475	0.18356	0.05961	0.05847	0.06158	63	nan
Escherichia coli	562	S	22314	520516	542830	0.06744	0.04699	0.04887	0.04803	53	nan
Escherichia albertii	208962	S	620	926	1546	0.00019	0.00009	0.00008	0.00009	52	nan
Bacteroides uniformis	820	S	407390	620244	1027634	0.12767	0.05569	0.05524	0.05516	49	nan
Parabacteroides distasonis	823	S	322540	571806	894346	0.11111	0.04862	0.04793	0.04781	46	nan
Akkermansia muciniphila	239935	S	296055	297857	593912	0.07379	0.04706	0.05061	0.04906	57	nan
Campylobacter jejuni	197	S	1214	1648	2862	0.00036	0.00043	0.00000	0.00039	30	0.0
Homo sapiens	9606	S	1253	1300	2553	0.00032	0.00002	0.00000	0.00002	37	3.0
