name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	753483	766601	1520084	0.16183	0.04657	0.04595	0.04581	47	nan
Enterocloster clostridioformis	1531	S	535142	549458	1084600	0.11547	0.03763	0.03718	0.03726	51	nan
Enterocloster bolteae	208479	S	8602	8742	17344	0.00185	0.00052	0.00000	0.00051	51	4.0
Agathobacter rectalis	39491	S	356598	380163	736761	0.07844	0.04387	0.04366	0.04321	43	nan
[Clostridium] hylemonae	89153	S	2266	2315	4581	0.00049	0.00022	0.00000	0.00022	50	4.0
Roseburia hominis	301301	S	1209	1332	2541	0.00027	0.00014	0.00015	0.00014	51	nan
Wansuia hejianensis	2763667	S	789	797	1586	0.00017	0.00008	0.00000	0.00008	50	4.0
[Ruminococcus] gnavus	33038	S	522	552	1074	0.00011	0.00006	0.00000	0.00006	44	4.0
Flavonifractor plautii	292800	S	512801	521214	1034015	0.11008	0.04867	0.04682	0.04914	64	nan
Faecalibacterium duncaniae	411483	S	296560	433861	730421	0.07776	0.05588	0.05451	0.05522	60	nan
Faecalibacterium prausnitzii	853	S	2873	3317	6190	0.00066	0.00042	0.00000	0.00042	61	5.0
Anaerotruncus colihominis	169435	S	504	530	1034	0.00011	0.00006	0.00000	0.00006	56	4.0
Clostridioides difficile	1496	S	5306	5542	10848	0.00115	0.00050	0.00000	0.00065	29	0.0
Hungatella hathewayi	154046	S	703	730	1433	0.00015	0.00004	0.00000	0.00004	50	5.0
Bacillus subtilis	1423	S	10180	583900	594080	0.06325	0.05360	0.05362	0.05255	45	nan
Bacillus vallismortis	72361	S	1067	1096	2163	0.00023	0.00010	0.00010	0.00010	44	nan
Bacillus inaquosorum	483913	S	804	862	1666	0.00018	0.00008	0.00008	0.00008	44	nan
Bacillus spizizenii	96241	S	710	3217	3927	0.00042	0.00030	0.00031	0.00030	45	nan
Bacillus tequilensis	227866	S	520	540	1060	0.00011	0.00005	0.00005	0.00005	45	nan
Staphylococcus epidermidis	1282	S	268014	289764	557778	0.05938	0.04311	0.05019	0.04697	32	nan
Lactobacillus delbrueckii	1584	S	270566	273349	543915	0.05790	0.05338	0.05282	0.05283	53	nan
Streptococcus mutans	1309	S	262193	266878	529071	0.05632	0.04953	0.04893	0.04915	37	nan
Megasphaera elsdenii	907	S	329751	331423	661174	0.07039	0.05041	0.05003	0.05006	56	nan
Megamonas funiformis	437897	S	267447	267886	535333	0.05699	0.04178	0.04629	0.04759	31	nan
Bifidobacterium longum	216816	S	580627	692888	1273515	0.13558	0.09962	0.09937	0.09841	61	nan
Cutibacterium acnes	1747	S	298657	301734	600391	0.06392	0.04573	0.04698	0.04539	60	nan
Collinsella aerofaciens	74426	S	371905	372924	744829	0.07929	0.05860	0.05907	0.05860	61	nan
Pseudomonas putida	303	S	900974	942663	1843637	0.19627	0.06424	0.05879	0.06238	63	nan
Escherichia coli	562	S	31815	624734	656549	0.06990	0.04852	0.04880	0.04816	53	nan
Escherichia albertii	208962	S	1009	1362	2371	0.00025	0.00011	0.00011	0.00011	52	nan
Escherichia fergusonii	564	S	607	1382	1989	0.00021	0.00012	0.00011	0.00011	52	nan
Escherichia marmotae	1499973	S	574	748	1322	0.00014	0.00006	0.00006	0.00006	52	nan
Bacteroides uniformis	820	S	479093	727806	1206899	0.12849	0.05657	0.05571	0.05577	49	nan
Parabacteroides distasonis	823	S	376690	665765	1042455	0.11098	0.04901	0.04823	0.04822	46	nan
Akkermansia muciniphila	239935	S	360961	363075	724036	0.07708	0.04996	0.05209	0.04976	57	nan
Campylobacter jejuni	197	S	1461	1981	3442	0.00037	0.00045	0.00000	0.00052	30	0.0
Homo sapiens	9606	S	1987	2108	4095	0.00044	0.00003	0.00000	0.00003	37	0.0
