name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	1434575	1464310	2898885	0.16167	0.04613	0.04576	0.04529	47	nan
Enterocloster clostridioformis	1531	S	1003768	1034983	2038751	0.11370	0.03677	0.03666	0.03665	51	nan
Enterocloster bolteae	208479	S	16780	17108	33888	0.00189	0.00053	0.00000	0.00053	51	4.0
Enterocloster asparagiformis	333367	S	617	619	1236	0.00007	0.00002	0.00000	0.00002	59	4.0
Agathobacter rectalis	39491	S	722563	772178	1494741	0.08336	0.04650	0.04531	0.04468	44	nan
[Clostridium] hylemonae	89153	S	3813	3909	7722	0.00043	0.00020	0.00000	0.00020	50	4.0
Roseburia hominis	301301	S	2092	2230	4322	0.00024	0.00012	0.00014	0.00012	51	nan
Roseburia intestinalis	166486	S	633	793	1426	0.00008	0.00004	0.00000	0.00003	43	4.0
[Ruminococcus] gnavus	33038	S	942	1328	2270	0.00013	0.00008	0.00000	0.00007	45	4.0
Wansuia hejianensis	2763667	S	1279	1294	2573	0.00014	0.00006	0.00000	0.00006	52	4.0
Chordicoccus furentiruminis	2709410	S	510	512	1022	0.00006	0.00003	0.00000	0.00003	60	4.0
Flavonifractor plautii	292800	S	927898	946266	1874164	0.10452	0.04583	0.04579	0.04877	64	nan
Faecalibacterium duncaniae	411483	S	488885	787610	1276495	0.07119	0.05262	0.05371	0.05385	60	nan
Faecalibacterium prausnitzii	853	S	5274	6334	11608	0.00065	0.00042	0.00050	0.00043	61	nan
Faecalibacterium sp. I3-3-89	2929493	S	653	974	1627	0.00009	0.00007	0.00000	0.00007	61	5.0
Anaerotruncus colihominis	169435	S	908	966	1874	0.00010	0.00005	0.00000	0.00006	55	4.0
Subdoligranulum variabile	214851	S	565	579	1144	0.00006	0.00004	0.00000	0.00004	62	4.0
Clostridioides difficile	1496	S	9845	10310	20155	0.00112	0.00049	0.00000	0.00049	28	0.0
Clostridium botulinum	1491	S	2567	4038	6605	0.00037	0.00021	0.00000	0.00021	28	0.0
Hungatella hathewayi	154046	S	1276	1326	2602	0.00015	0.00004	0.00000	0.00004	49	5.0
Bacillus subtilis	1423	S	23510	1136902	1160412	0.06472	0.05420	0.05355	0.05260	44	nan
Bacillus vallismortis	72361	S	2354	2419	4773	0.00027	0.00012	0.00011	0.00011	45	nan
Bacillus inaquosorum	483913	S	1835	1974	3809	0.00021	0.00009	0.00009	0.00009	44	nan
Bacillus spizizenii	96241	S	1591	4394	5985	0.00033	0.00021	0.00021	0.00021	45	nan
Bacillus velezensis	492670	S	885	9028	9913	0.00055	0.00045	0.00044	0.00043	44	nan
Bacillus halotolerans	260554	S	629	1300	1929	0.00011	0.00006	0.00006	0.00006	44	nan
Bacillus mojavensis	72360	S	579	643	1222	0.00007	0.00003	0.00003	0.00003	44	nan
Bacillus tequilensis	227866	S	1106	1150	2256	0.00013	0.00006	0.00005	0.00005	44	nan
Bacillus atrophaeus	1452	S	837	878	1715	0.00010	0.00004	0.00004	0.00004	45	nan
Bacillus stercoris	2054641	S	595	1874	2469	0.00014	0.00008	0.00008	0.00008	44	nan
Bacillus cabrialesii	2487276	S	1009	1085	2094	0.00012	0.00005	0.00005	0.00005	45	nan
Bacillus rugosus	2715209	S	878	978	1856	0.00010	0.00005	0.00005	0.00005	44	nan
Staphylococcus epidermidis	1282	S	604343	651254	1255597	0.07002	0.05025	0.04799	0.04639	32	nan
Staphylococcus aureus	1280	S	632	1851	2483	0.00014	0.00013	0.00000	0.00012	32	5.0
Streptococcus mutans	1309	S	532367	545719	1078086	0.06012	0.05253	0.04892	0.04880	37	nan
Lactobacillus delbrueckii	1584	S	525169	531304	1056473	0.05892	0.05382	0.05427	0.05394	53	nan
Megamonas funiformis	437897	S	653031	654649	1307680	0.07293	0.05296	0.04898	0.05023	32	nan
Megasphaera elsdenii	907	S	640593	645002	1285595	0.07170	0.05080	0.05202	0.05146	56	nan
Longicatena caecimuris	1796635	S	720	772	1492	0.00008	0.00005	0.00000	0.00005	38	4.0
[Clostridium] innocuum	1522	S	727	750	1477	0.00008	0.00003	0.00000	0.00003	46	4.0
Bifidobacterium longum	216816	S	1012400	1276622	2289022	0.12766	0.09570	0.10007	0.09932	62	nan
Bifidobacterium breve	1685	S	864	1382	2246	0.00013	0.00012	0.00012	0.00012	60	nan
Cutibacterium acnes	1747	S	548124	555030	1103154	0.06152	0.04365	0.04655	0.04538	60	nan
Mycobacterium canettii	78331	S	6126	6146	12272	0.00068	0.00028	0.00000	0.00030	65	0.0
Collinsella aerofaciens	74426	S	668539	671024	1339563	0.07471	0.05478	0.05819	0.05759	61	nan
Pseudomonas putida	303	S	1580109	1676806	3256915	0.18164	0.05971	0.05790	0.06174	64	nan
Escherichia coli	562	S	67582	1112521	1180103	0.06581	0.04491	0.04583	0.04519	53	nan
Escherichia albertii	208962	S	2140	2773	4913	0.00027	0.00011	0.00011	0.00011	52	nan
Escherichia fergusonii	564	S	1283	2521	3804	0.00021	0.00011	0.00011	0.00011	52	nan
Escherichia marmotae	1499973	S	1154	1413	2567	0.00014	0.00006	0.00006	0.00006	52	nan
Escherichia sp. E4742	2044467	S	745	1060	1805	0.00010	0.00004	0.00004	0.00004	52	nan
Shigella flexneri	623	S	1119	29248	30367	0.00169	0.00124	0.00126	0.00125	53	nan
Shigella dysenteriae	622	S	969	5458	6427	0.00036	0.00023	0.00024	0.00024	53	nan
Shigella boydii	621	S	561	6963	7524	0.00042	0.00030	0.00030	0.00030	53	nan
Klebsiella pneumoniae	573	S	610	3316	3926	0.00022	0.00012	0.00000	0.00013	54	5.0
Salmonella enterica	28901	S	976	8522	9498	0.00053	0.00035	0.00038	0.00035	53	nan
Bacteroides uniformis	820	S	857822	1376301	2234123	0.12460	0.05548	0.05563	0.05456	49	nan
Parabacteroides distasonis	823	S	654239	1268332	1922571	0.10722	0.04843	0.04812	0.04736	47	nan
Akkermansia muciniphila	239935	S	661378	666528	1327906	0.07406	0.04778	0.05026	0.04901	57	nan
Campylobacter jejuni	197	S	2195	3020	5215	0.00029	0.00035	0.00000	0.00033	30	0.0
Homo sapiens	9606	S	4050	4257	8307	0.00046	0.00003	0.00000	0.00003	37	0.0
