name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
[Clostridium] innocuum	1522	S	10188393	10371765	20560158	1.19051	0.60056	nan	nan	46	1.0
Thomasclavelia ramosa	1547	S	2516	2530	5046	0.00029	0.00015	nan	nan	31	1.0
Thomasclavelia spiroformis	29348	S	309	309	618	0.00004	0.00002	nan	nan	29	1.0
Faecalibacillus intestinalis	1982626	S	606	614	1220	0.00007	0.00004	nan	nan	29	1.0
Allocoprobacillus halotolerans	2944914	S	2610	2622	5232	0.00030	0.00015	nan	nan	31	1.0
Amedibacterium intestinale	2583452	S	1872	1936	3808	0.00022	0.00011	nan	nan	34	1.0
Longicatena caecimuris	1796635	S	875	913	1788	0.00010	0.00005	nan	nan	38	1.0
Bulleidia sp. zg-1006	2806552	S	376	378	754	0.00004	0.00002	nan	nan	36	1.0
Cytobacillus gottheilii	859144	S	887445	895909	1783354	0.10326	0.05188	nan	nan	39	1.0
Cytobacillus firmus	1399	S	946	970	1916	0.00011	0.00006	nan	nan	42	1.0
Cytobacillus pseudoceanisediminis	3051614	S	547	823	1370	0.00008	0.00005	nan	nan	42	1.0
Cytobacillus solani	1637975	S	451	457	908	0.00005	0.00003	nan	nan	38	1.0
Cytobacillus spongiae	2901381	S	403	406	809	0.00005	0.00002	nan	nan	39	1.0
Cytobacillus oceanisediminis	665099	S	246	419	665	0.00004	0.00002	nan	nan	41	1.0
Niallia circulans	1397	S	4597	4706	9303	0.00054	0.00027	nan	nan	36	1.0
Niallia sp. RD1	2962858	S	1963	2098	4061	0.00024	0.00012	nan	nan	36	1.0
Niallia sp. Man26	2912824	S	240	243	483	0.00003	0.00001	nan	nan	39	1.0
Niallia taxi	2499688	S	191	193	384	0.00002	0.00001	nan	nan	38	1.0
Bacillus sp. T3	467262	S	1708	1739	3447	0.00020	0.00010	nan	nan	38	1.0
Bacillus sp. DTU_2020_1000418_1_SI_GHA_SEK_038	3077585	S	252	255	507	0.00003	0.00001	nan	nan	39	1.0
Bacillus subtilis	1423	S	1026	1286	2312	0.00013	0.00007	nan	nan	45	1.0
Bacillus velezensis	492670	S	534	678	1212	0.00007	0.00004	nan	nan	48	1.0
